Title,Link,Category,Rating,Thumbnail,Description
"""Squad Busters""","""https://play.google.com/store/apps/details?id=com.supercell.squad""","""Action""","""3.0""","""https://play-lh.googleusercontent.com/DZ4t2P3THtVpA1-UfUziJdflz30_JbTjaPdA2O2JZkAYDL2ZGiKfu7PPv9XF_9C7FFM=s128-rw""",""" Every match is busting with unique, unpredictable fun!  Grow your Squad, loot bosses, bust your friends, collect & Evolve all-star Supercell characters from Clash of Clans, Brawl Stars, Hay Day, Clash Royale, and Boom Beach."""
"""Roblox""","""https://play.google.com/store/apps/details?id=com.roblox.client""","""Adventure""","""4.4""","""https://play-lh.googleusercontent.com/WNWZaxi9RdJKe2GQM3vqXIAkk69mnIl4Cc8EyZcir2SKlVOxeUv9tZGfNTmNaLC717Ht=s128-rw""","""Roblox is the ultimate virtual universe that lets you create, share experiences with friends, and be anything you can imagine. Join millions of people and discover an infinite variety of immersive worlds created by a global community!"""
"""Block Blast!""","""https://play.google.com/store/apps/details?id=com.block.juggle""","""Puzzle""","""4.4""","""https://play-lh.googleusercontent.com/R0qgNDYYHbRhw6JFsdEbDMqONplEvJx0m0W9wzYVvY3eNF1c2rfBWYjQxW0sLEzFe1E=s128-rw""","""Block Blast is a free and popular block puzzle game that is your best choice when you want to pass the casual time and challenge your brain. The goal of this block puzzle game is easy yet fun: match and clear as many colored blocks as possible on the board. Mastering the skill of filling rows or columns will make the block puzzle game easier. Block Blast not only provides a relaxing and cozy puzzle gaming experience but also enhances your logical abilities and trains your brain."""
"""Royal Match""","""https://play.google.com/store/apps/details?id=com.dreamgames.royalmatch""","""Puzzle""","""4.6""","""https://play-lh.googleusercontent.com/qBdVfwRCsI4KM7qewhJ0AKZKQjyD-DdxPDcdDbsRMhNO9zrwbefggn1vGqRIDZA3fg=s128-rw""","""Welcome to Royal Match, the king of puzzle games! Swipe colors, solve match-3 puzzles and help King Robert decorate his castle. An exciting adventure is calling you!"""
"""Pizza Ready!""","""https://play.google.com/store/apps/details?id=io.supercent.pizzaidle""","""Simulation""","""4.3""","""https://play-lh.googleusercontent.com/0iXkY-uS9VRHK6ggs4WQyNyv8BvCp88S_QMrpaxaQd1XaHIRU8pO-EfKfZueub3CBaI=s128-rw""","""Introducing Pizza Ready, the ultimate pizza restaurant simulation game! 🍕"""
"""Traffic Escape!""","""https://play.google.com/store/apps/details?id=com.bonnie.trafficescape""","""Puzzle""","""4.7""","""https://play-lh.googleusercontent.com/3DdjrqH7RlSMjV28TdX2C0bvcp9mPBd81Q65TR9SVFJ4YOiAOMFqlIBvvCbS7nFRsd0=s128-rw""","""Traffic Escape is a fun and addictive 3D puzzle game. Tap to move cars but be careful, don’t crash! Ready for a brain-teasing puzzle challenge on the open road? Look no further than Traffic Escape! Unleash your strategic thinking as you navigate through a gridlocked world of traffic and seek your way to freedom!"""
"""MONOPOLY GO!""","""https://play.google.com/store/apps/details?id=com.scopely.monopolygo""","""Board""","""4.5""","""https://play-lh.googleusercontent.com/DfYkSl-nQoMNLX2bec7EwHemrvyDYmDgzIR1jcsyt0ZAcmO_SKjuu0a1o1iSwtnl8_g=s128-rw""","""Hit GO! Roll the dice! Earn MONOPOLY money, interact with your friends, family members and fellow Tycoons from around the world as you explore the expanding universe of MONOPOLY GO! It’s the new way to play - board flipping cleanup not required!"""
"""Snake Clash!""","""https://play.google.com/store/apps/details?id=io.supercent.linkedcubic""","""Arcade""","""4.4""","""https://play-lh.googleusercontent.com/Ps9ble2ja0F1s8VQmGj4n4lBW-390jFz63Uckicajh6GvKpFjWNgN-YGTRcVQj8rv53n=s128-rw""","""Welcome to the 2023 Best Game, Snake Clash – the ultimate snake battle survival game that takes slithering to a whole new level! Immerse yourself in this slithering adventure, where you start as a hungry snake and aim to become the biggest and strongest snake in the Snake Clash universe!"""
"""Die Again: Troll Game Ever""","""https://play.google.com/store/apps/details?id=com.devilgame.trolllevel""","""Action""","""4.7""","""https://play-lh.googleusercontent.com/Sku9g7DZnbnmKIGQ2E5nW6C7Fzt87tCFVVeBzUAQ5WpI-swDzaq26SKwGFW4VYnKug=s128-rw""","""Dare you win this Die Again?"""
"""Last War:Survival Game""","""https://play.google.com/store/apps/details?id=com.fun.lastwar.gp""","""Strategy""","""4.5""","""https://play-lh.googleusercontent.com/uvq_7oyWAdqTHLq_JEFglS7WVWtEwDP5AT60EN7VhYJwtWQWp2trgXu05LcOB_V6FdQ=s128-rw""","""A global zombie infestation has converted many into zombies. As a survivor, your primary goal is to retain your humanity and survive."""
